baseline,training_cohorts,eval_cohort,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,chunk_size
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,CD4T,981,17.916095733642578,18.35733199046657,0.36095640467161205,1.4790820199496765e-31,-13.475031873137214,25000
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,CD8T,981,19.20384979248047,19.477470716812803,0.5944590783882573,8.784874632521784e-95,-15.931590617857456,25000
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,MONO,978,18.11742401123047,18.637027034486486,0.1800244298306795,1.4356598625641952e-08,-13.590708403012016,25000
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,NK,981,11.549957275390625,12.958723739017405,0.3645263675625914,3.4022455843682205e-32,-2.268168014853008,25000
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,B,981,18.346878051757812,18.682420911409803,0.29945747597228967,8.962773277289234e-22,-13.714132213689744,25000
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,CD4T,24,14.299261093139648,14.30617062250773,0.02558448584417712,0.9055400555161883,-3.4122846921284995,25000
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,CD8T,24,14.725334167480469,14.197158495585123,0.08179948437979737,0.7039608866907032,-3.1499738693237305,25000
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,MONO,23,14.284080505371094,13.294824019722316,0.3762906190093978,0.07677819591097589,-5.392399331797725,25000
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,NK,29,13.905963897705078,14.794422938905914,-0.15073554943220208,0.4350936902645645,2.260326122415477,25000
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,B,29,14.048297882080078,13.515575277394262,-0.12576821589461526,0.5156406486328631,-2.2635640111462823,25000
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,CD4T,166,13.212806701660156,17.064718568181416,0.1380980538946821,0.0760076475655415,-13.960214201226291,25000
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,CD8T,166,12.709089279174805,16.79640928521214,0.23551548791759597,0.002253899767567665,-13.675970743937665,25000
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,MONO,166,14.7884521484375,17.31671749252871,0.07832775033216584,0.31581318162984595,-14.502680123570453,25000
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,NK,166,13.023733139038086,16.517372062407343,0.09143633732225309,0.24134605487819366,-12.06445535407009,25000
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,B,166,13.42268180847168,17.460053616259472,0.05521388554615061,0.4798493169736943,-14.58155792879771,25000
