donor_id,true_age,predicted_age,n_cells
terekhova:A01,31.0,33.6379,3017
terekhova:A02,29.0,33.624107,4338
terekhova:A03,34.0,33.46869,7394
terekhova:A04,31.0,33.977745,8642
terekhova:A05,30.0,32.901276,4462
terekhova:A06,28.0,34.015144,4422
terekhova:A07,30.0,35.069542,7774
terekhova:A08,28.0,34.659996,6309
terekhova:A09,35.0,34.515163,8696
terekhova:A10,28.0,33.996433,4727
terekhova:A11,30.0,33.87664,7941
terekhova:A12,27.0,34.019157,3746
terekhova:A13,33.0,34.265205,7060
terekhova:A14,29.0,34.002365,4748
terekhova:A15,26.0,34.499615,5991
terekhova:A16,29.0,34.862244,6112
terekhova:A17,30.0,34.487858,7113
terekhova:A18,29.0,34.170303,9651
terekhova:A19,30.0,34.90118,7049
terekhova:A20,27.0,34.26051,7606
terekhova:A21,27.0,34.805843,7232
terekhova:A22,29.0,34.518436,2731
terekhova:A23,27.0,34.638107,9275
terekhova:A24,27.0,34.58609,9015
terekhova:A25,34.0,34.037075,2901
terekhova:A26,28.0,34.219307,10078
terekhova:A27,28.0,34.25526,7462
terekhova:A28,25.0,34.63718,5275
terekhova:A29,33.0,34.28405,6402
terekhova:A30,33.0,34.16358,2496
terekhova:A31,31.0,34.67556,4723
terekhova:A33,31.0,34.373,9401
terekhova:A34,28.0,34.544395,2962
terekhova:A35,33.0,35.144615,3336
terekhova:A36,33.0,34.405117,4173
terekhova:A37,26.0,34.643898,2264
terekhova:A38,28.0,34.67668,4668
terekhova:A40,30.0,34.586555,2734
terekhova:A41,34.0,35.079533,5755
terekhova:B01,44.0,33.76256,3151
terekhova:B02,42.0,33.079903,2284
terekhova:B03,37.0,34.18038,2491
terekhova:B04,36.0,33.065,7533
terekhova:B05,44.0,33.425335,3429
terekhova:B06,44.0,34.045,5094
terekhova:B08,44.0,33.741505,7434
terekhova:B09,36.0,35.38183,3096
terekhova:B10,44.0,34.975426,6938
terekhova:B11,37.0,35.14539,6659
terekhova:B12,35.0,33.96323,6315
terekhova:B13,35.0,35.04537,6015
terekhova:B14,38.0,34.337734,2185
terekhova:B15,35.0,33.824112,2436
terekhova:B16,44.0,34.47353,7389
terekhova:B17,40.0,34.795616,7182
terekhova:B18,39.0,34.41406,6771
terekhova:B19,41.0,33.86409,2764
terekhova:B20,41.0,34.392796,10187
terekhova:B21,35.0,33.911232,3688
terekhova:B22,36.0,34.360607,4552
terekhova:B23,39.0,34.56412,3657
terekhova:B24,36.0,33.90558,3832
terekhova:C01,53.0,33.726826,11070
terekhova:C02,53.0,32.869244,367
terekhova:C04,51.0,33.42899,3117
terekhova:C05,49.0,33.693497,7046
terekhova:C06,46.0,33.328526,1045
terekhova:C07,53.0,34.59509,5953
terekhova:C08,51.0,33.970013,5085
terekhova:C09,55.0,33.61309,5002
terekhova:C10,52.0,34.12231,5666
terekhova:C11,51.0,34.077736,10106
terekhova:C12,55.0,35.128166,5618
terekhova:C13,50.0,34.205227,11983
terekhova:C14,48.0,34.97673,1871
terekhova:C15,49.0,34.90467,9976
terekhova:C16,48.0,34.597656,7331
terekhova:C17,54.0,34.522827,3318
terekhova:C18,54.0,34.704124,3814
terekhova:D01,58.0,34.29267,5212
terekhova:D02,59.0,34.19688,9179
terekhova:D03,63.0,33.14336,5947
terekhova:D04,61.0,33.406174,6240
terekhova:D05,63.0,34.931156,8882
terekhova:D06,60.0,35.066093,6764
terekhova:D07,58.0,33.98812,3542
terekhova:D08,63.0,34.52015,3935
terekhova:D09,61.0,34.863377,6529
terekhova:D10,59.0,35.036972,2227
terekhova:D11,62.0,34.675728,12827
terekhova:D12,63.0,34.82566,9755
terekhova:D13,59.0,34.527737,7515
terekhova:D14,61.0,34.37164,9963
terekhova:D15,64.0,33.53526,1247
terekhova:D16,63.0,34.2151,5898
terekhova:D17,56.0,34.57707,5682
terekhova:D18,63.0,34.379814,2389
terekhova:D19,61.0,34.621227,3116
terekhova:D20,61.0,35.039635,2264
terekhova:D21,62.0,35.627388,3080
terekhova:D22,64.0,35.558212,3092
terekhova:D23,64.0,34.513447,6991
terekhova:D24,63.0,35.394333,2978
terekhova:E01,72.0,34.03931,2550
terekhova:E02,75.0,34.93406,3130
terekhova:E03,70.0,34.243065,4651
terekhova:E04,70.0,33.55789,6114
terekhova:E05,66.0,34.27679,11085
terekhova:E06,66.0,33.581444,3984
terekhova:E07,80.0,33.902134,6582
terekhova:E08,67.0,34.331223,3900
terekhova:E09,66.0,34.26507,3982
terekhova:E10,66.0,34.39768,8573
terekhova:E11,71.0,34.87322,3897
terekhova:E12,80.0,36.001865,2929
terekhova:E13,79.0,36.06852,7004
terekhova:E14,71.0,34.910866,9736
terekhova:E15,78.0,34.767246,8715
terekhova:E16,70.0,34.91384,7795
terekhova:E18,66.0,34.9146,7883
terekhova:E19,77.0,35.169712,2335
terekhova:E20,74.0,34.964596,10609
terekhova:E21,71.0,35.24303,11161
terekhova:E22,75.0,34.94929,9079
terekhova:E23,71.0,34.70019,15021
terekhova:E24,72.0,34.652645,6524
terekhova:E26,73.0,35.07308,2153
terekhova:E27,65.0,34.297287,2435
terekhova:E29,74.0,34.554085,4866
terekhova:E30,72.0,34.70473,2431
terekhova:FA01,34.0,39.33354,1200
terekhova:FA02,31.0,38.432198,5442
terekhova:FA03,30.0,39.47029,2608
terekhova:FA04,35.0,38.987846,8827
terekhova:FA05,27.0,39.62275,2706
terekhova:FA06,33.0,38.667946,4229
terekhova:FA07,30.0,38.94015,2956
terekhova:FA08,26.0,38.59159,3218
terekhova:FB01,44.0,38.628056,4945
terekhova:FB02,39.0,38.599495,2750
terekhova:FB03,36.0,38.448967,2326
terekhova:FB04,37.0,38.392323,8057
terekhova:FB05,35.0,38.12286,2757
terekhova:FB06,37.0,38.28909,2161
terekhova:FB07,36.0,37.82743,1168
terekhova:FC01,52.0,39.205738,4192
terekhova:FC02,49.0,38.863136,6424
terekhova:FC03,53.0,39.51451,3102
terekhova:FC04,51.0,38.057213,3018
terekhova:FC06,50.0,38.01809,2913
terekhova:FD01,58.0,39.82828,5886
terekhova:FD02,55.0,38.860672,2946
terekhova:FD03,60.0,38.226517,6528
terekhova:FD04,57.0,38.67576,8338
terekhova:FD05,56.0,38.74826,3768
terekhova:FD06,55.0,38.355537,3132
terekhova:FE01,80.0,39.08903,11931
terekhova:FE02,79.0,38.8168,9051
terekhova:FE03,73.0,38.482697,4336
terekhova:FE04,74.0,38.119564,6337
terekhova:FE05,73.0,38.84201,3117
terekhova:FE06,78.0,39.874973,2477
terekhova:FE07,71.0,39.975327,2342
terekhova:FE08,68.0,39.254803,3671
terekhova:FE09,76.0,40.0416,1580
terekhova:FE10,69.0,39.200233,3204
