layer,onek1k_r_mean,onek1k_r_std,onek1k_mae_mean,onek1k_mae_std,aida_r_mean,aida_r_std,aida_mae_mean,aida_mae_std,n_seeds
0,0.342238,0,28.4718,0,0.316525,0,10.7919,0,3
1,0.502609,0.004802,27.5579,0.496496,0.472068,0.0053548,9.14974,0.0296964,3
2,0.489583,0.0319601,29.6972,6.05612,0.466392,0.0278759,9.68323,2.20544,3
3,0.542204,0.0152964,22.9589,7.66322,0.437797,0.0189244,10.3794,2.61574,3
4,0.504679,0.0124942,40.1913,1.32122,0.412805,0.0335435,9.22868,0.853735,3
5,0.588642,0.0120814,21.5751,3.24602,0.428904,0.010362,9.75877,0.533677,3
6,0.619463,0.0185958,20.3087,5.14507,0.499536,0.0690852,8.76529,1.17639,3
7,0.599442,0.0124998,19.812,3.85511,0.511796,0.0252022,7.93575,0.231005,3
8,0.596183,0.0173211,30.4513,3.39833,0.584487,0.0252836,7.51185,0.237995,3
9,0.606181,0.0155044,25.0719,4.37417,0.593712,0.0248643,7.32733,0.376297,3
10,0.620895,0.0106723,20.9736,4.6477,0.60303,0.0139474,7.71315,0.102923,3
11,0.574496,0.0128078,28.8961,9.83323,0.612159,0.0191095,8.07657,0.788331,3
12,0.633213,0.0133725,12.2017,1.20907,0.59446,0.0164487,8.11485,0.426329,3
