method,fold,cell_type,seed,n_train,n_eval,k_folds_inner_cv,L_cv_R_selected,L_cv_MAE_selected,L_oracle_holdout_R,L_oracle_holdout_MAE,holdout_R_at_cv_R,holdout_MAE_at_cv_R,holdout_R_at_oracle,holdout_MAE_at_oracle_MAE,holdout_R_at_L12,holdout_MAE_at_L12,aida_R_at_cv_R,aida_MAE_at_cv_R,aida_R_at_aida_oracle,aida_oracle_layer,cv_R_per_layer
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,190,981,5,4,9,12,11,0.4748,53.8553,0.5603,15.2438,0.5603,16.5173,0.3762,9.5384,0.5275,12.0000,"[0.4278036653995514, 0.539424479007721, 0.53090900182724, 0.5633466243743896, 0.5909415483474731, 0.5429052114486694, 0.505974531173706, 0.5162781476974487, 0.5106701254844666, 0.508453369140625, 0.44804662466049194, 0.4515494406223297, 0.5230426788330078]"
geneformer_frozen_seed0,loco_onek1k,B,0,195,981,5,7,7,7,0,0.0377,25.1470,0.0377,18.8435,-0.0126,21.6908,0.0114,19.7076,0.1201,11.0000,"[0.15747441351413727, 0.15644778311252594, 0.18136699497699738, 0.20357933640480042, 0.17504747211933136, 0.1820145845413208, 0.2188246250152588, 0.2417827844619751, 0.2155221700668335, 0.20452086627483368, 0.17389455437660217, 0.1857261210680008, 0.21794696152210236]"
geneformer_frozen_seed0,loco_onek1k,NK,0,195,981,5,0,0,3,0,0.1779,11.3268,0.3045,11.3268,0.2602,14.1272,0.0790,17.5308,0.1685,5.0000,"[0.28674834966659546, 0.23444810509681702, 0.22176119685173035, 0.21240785717964172, 0.2109849900007248, 0.22165358066558838, 0.2309408187866211, 0.22975483536720276, 0.2353147715330124, 0.23182234168052673, 0.229699045419693, 0.22662267088890076, 0.2403709590435028]"
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1005,166,5,6,9,5,1,0.6124,18.6001,0.6209,8.8248,0.5764,24.0269,,,,,"[0.5606095790863037, 0.6185678243637085, 0.6307098865509033, 0.6455816030502319, 0.6403165459632874, 0.6573030948638916, 0.6721325516700745, 0.6719932556152344, 0.6658052802085876, 0.659844160079956, 0.6625203490257263, 0.640433669090271, 0.6676427125930786]"
geneformer_frozen_seed0,loco_terekhova,B,0,1010,166,5,3,5,9,3,0.0646,13.8785,0.2278,13.8785,0.1024,14.0191,,,,,"[0.3704178035259247, 0.39059358835220337, 0.4185735583305359, 0.43720778822898865, 0.42877644300460815, 0.431720495223999, 0.4273371696472168, 0.42175254225730896, 0.4093700051307678, 0.41489630937576294, 0.4095848500728607, 0.414498895406723, 0.4322997033596039]"
geneformer_frozen_seed0,loco_terekhova,NK,0,1010,166,5,2,5,2,9,0.2659,14.4117,0.2659,13.3250,0.1989,15.1889,,,,,"[0.46736717224121094, 0.48542308807373047, 0.5104700326919556, 0.5083722472190857, 0.5073555707931519, 0.49088162183761597, 0.48180723190307617, 0.47130051255226135, 0.4858850836753845, 0.48249298334121704, 0.4752011299133301, 0.4539770185947418, 0.48459091782569885]"
geneformer_frozen_seed1,loco_onek1k,NK,1,195,981,5,2,3,3,12,0.1222,38.0720,0.2534,22.3003,0.1972,22.3003,0.1957,15.1366,0.3604,10.0000,"[0.2473960667848587, 0.23844972252845764, 0.2580147087574005, 0.23814471065998077, 0.2117319405078888, 0.2246977537870407, 0.20116034150123596, 0.2125585973262787, 0.19412025809288025, 0.2000541388988495, 0.18475213646888733, 0.18828871846199036, 0.20873741805553436]"
geneformer_frozen_seed2,loco_onek1k,NK,2,195,981,5,3,4,4,0,0.2833,24.5979,0.3056,10.9134,0.2659,18.7655,0.1587,17.2089,0.2499,2.0000,"[0.3224581480026245, 0.31354421377182007, 0.29328012466430664, 0.32339274883270264, 0.30869120359420776, 0.31322482228279114, 0.3121333122253418, 0.3129713237285614, 0.28386789560317993, 0.2719438672065735, 0.28659310936927795, 0.27934378385543823, 0.2978852391242981]"
geneformer_frozen_seed1,loco_terekhova,NK,1,1010,166,5,3,3,2,8,0.1978,14.3250,0.2708,13.5484,0.1833,14.4655,,,,,"[0.4322938919067383, 0.46733227372169495, 0.4759724736213684, 0.5002025365829468, 0.4932405948638916, 0.4723830223083496, 0.4687011241912842, 0.4674535393714905, 0.48411568999290466, 0.48052167892456055, 0.4766347408294678, 0.46363067626953125, 0.450313001871109]"
geneformer_frozen_seed2,loco_terekhova,NK,2,1010,166,5,3,3,2,12,0.2719,13.7972,0.3377,13.4098,0.2548,13.4098,,,,,"[0.4461406171321869, 0.47242817282676697, 0.48819440603256226, 0.5005933046340942, 0.49167174100875854, 0.48770609498023987, 0.4847140908241272, 0.47925275564193726, 0.4727996289730072, 0.4711037576198578, 0.47640833258628845, 0.457800954580307, 0.4738745093345642]"
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,190,981,5,6,12,7,12,0.6381,8.5740,0.6389,8.2126,0.6306,8.2126,0.5054,8.2662,0.6106,12.0000,"[0.4278036653995514, 0.5692699551582336, 0.6095247268676758, 0.6344118714332581, 0.6529003977775574, 0.6858461499214172, 0.7014968991279602, 0.696911633014679, 0.7013369798660278, 0.697889506816864, 0.6969550251960754, 0.6981973648071289, 0.6898102164268494]"
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,190,981,5,7,5,6,6,0.6280,14.4276,0.6354,12.9371,0.6292,14.8276,0.5136,8.3016,0.5507,6.0000,"[0.4278036653995514, 0.5651807188987732, 0.6061966419219971, 0.6611676812171936, 0.6689679026603699, 0.6980271935462952, 0.7087609171867371, 0.7093642950057983, 0.7033182382583618, 0.7008053660392761, 0.7015172243118286, 0.7011033892631531, 0.690497875213623]"
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,190,981,5,6,12,6,12,0.6225,11.0513,0.6225,10.3589,0.5647,10.3589,0.5500,8.3115,0.5738,10.0000,"[0.4278036653995514, 0.5636215806007385, 0.5792309641838074, 0.6323021054267883, 0.6532436609268188, 0.6889215111732483, 0.700754702091217, 0.6940093040466309, 0.6967849135398865, 0.6889978647232056, 0.6928287148475647, 0.6941255331039429, 0.6869574785232544]"
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,190,981,5,12,12,12,12,0.6359,11.0030,0.6359,11.0030,0.6359,11.0030,0.6134,8.0235,0.6280,11.0000,"[0.4278036653995514, 0.5545353293418884, 0.5616589784622192, 0.6126953363418579, 0.6486766934394836, 0.6416836977005005, 0.6554047465324402, 0.6582517027854919, 0.65790194272995, 0.6473708152770996, 0.6377460360527039, 0.6550453305244446, 0.6953837275505066]"
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,190,981,5,12,8,12,12,0.6450,13.4209,0.6450,13.4209,0.6450,13.4209,0.5859,8.5794,0.6176,11.0000,"[0.4278036653995514, 0.5587988495826721, 0.5625178217887878, 0.6332443952560425, 0.6542521119117737, 0.6474819779396057, 0.6614673137664795, 0.6569181680679321, 0.6570070385932922, 0.6512141227722168, 0.6388360261917114, 0.6448038220405579, 0.6911771297454834]"
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,190,981,5,12,12,12,12,0.6187,12.1812,0.6187,12.1812,0.6187,12.1812,0.5840,7.7416,0.6065,10.0000,"[0.4278036653995514, 0.5490880608558655, 0.5636396408081055, 0.6240078210830688, 0.6462785601615906, 0.653396487236023, 0.66170734167099, 0.6655734181404114, 0.6679750680923462, 0.6548768281936646, 0.6517118215560913, 0.666024386882782, 0.6810281276702881]"
