layer,k_pc,cv_R
0,5,0.2495
0,10,0.1760
0,25,0.1078
0,50,0.0538
1,5,0.2307
1,10,0.1881
1,25,0.1251
1,50,0.0207
2,5,0.2671
2,10,0.2457
2,25,0.0786
2,50,0.0386
3,5,0.2561
3,10,0.2494
3,25,0.0159
3,50,0.0449
4,5,0.2611
4,10,0.2231
4,25,0.0276
4,50,0.0131
5,5,0.2721
5,10,0.2235
5,25,0.0200
5,50,0.0320
6,5,0.2700
6,10,0.2183
6,25,0.0297
6,50,0.0210
7,5,0.2738
7,10,0.2472
7,25,0.0887
7,50,0.0394
8,5,0.2689
8,10,0.2331
8,25,0.0829
8,50,-0.0157
9,5,0.2761
9,10,0.2364
9,25,0.0836
9,50,0.0247
10,5,0.2598
10,10,0.2100
10,25,0.0874
10,50,0.0508
11,5,0.2490
11,10,0.1977
11,25,0.1028
11,50,0.0484
12,5,0.2628
12,10,0.2249
12,25,0.1582
12,50,0.0582
