seed,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
0,loco_onek1k,0,0.5813,8.6318,0.4195,13.0121
0,loco_onek1k,1,0.6565,62.5552,0.6066,8.2299
0,loco_onek1k,2,0.6874,13.7947,0.7062,7.4438
0,loco_onek1k,3,0.6535,28.5611,0.7007,9.6244
0,loco_onek1k,4,0.6031,25.1366,0.6875,13.8904
0,loco_onek1k,5,0.5188,30.9420,0.6676,13.8318
0,loco_onek1k,6,0.6315,18.3607,0.6904,12.9623
0,loco_onek1k,7,0.5997,11.6696,0.6850,8.8455
0,loco_onek1k,8,0.6385,35.1727,0.6897,9.1798
0,loco_onek1k,9,0.6522,16.5654,0.6684,10.5647
0,loco_onek1k,10,0.6560,11.4189,0.6751,8.5345
0,loco_onek1k,11,0.5949,37.1429,0.5383,7.7001
0,loco_onek1k,12,0.6642,9.5827,0.6642,11.2111
0,loco_terekhova,0,0.6949,11.9595,,
0,loco_terekhova,1,0.7486,8.3889,,
0,loco_terekhova,2,0.7428,8.3115,,
0,loco_terekhova,3,0.5992,13.9363,,
0,loco_terekhova,4,0.6464,9.1543,,
0,loco_terekhova,5,0.6149,34.3056,,
0,loco_terekhova,6,0.6291,9.4132,,
0,loco_terekhova,7,0.7165,21.1670,,
0,loco_terekhova,8,0.6730,8.6533,,
0,loco_terekhova,9,0.7463,12.3915,,
0,loco_terekhova,10,0.6896,9.4585,,
0,loco_terekhova,11,0.7301,36.8057,,
0,loco_terekhova,12,0.7443,39.3112,,
1,loco_onek1k,0,0.5059,13.1805,0.2893,9.1806
1,loco_onek1k,1,0.5017,33.6690,0.5708,21.8769
1,loco_onek1k,2,0.4548,51.7257,0.4757,22.8853
1,loco_onek1k,3,0.4195,62.3219,0.6310,23.4969
1,loco_onek1k,4,0.4208,76.5303,0.5543,12.7480
1,loco_onek1k,5,0.4431,44.7116,0.5906,16.0310
1,loco_onek1k,6,0.5280,19.2159,0.4474,12.3879
1,loco_onek1k,7,0.5213,27.0609,0.4631,10.4058
1,loco_onek1k,8,0.5144,14.1237,0.4753,11.9911
1,loco_onek1k,9,0.5058,15.4500,0.5441,8.1073
1,loco_onek1k,10,0.5630,10.4428,0.4437,16.8422
1,loco_onek1k,11,0.5441,21.8424,0.3100,11.9566
1,loco_onek1k,12,0.5220,74.7289,0.6361,11.5312
1,loco_terekhova,0,0.7042,9.6500,,
1,loco_terekhova,1,0.7444,8.9052,,
1,loco_terekhova,2,0.7294,17.8827,,
1,loco_terekhova,3,0.7027,26.8418,,
1,loco_terekhova,4,0.6013,9.3712,,
1,loco_terekhova,5,0.7448,26.1306,,
1,loco_terekhova,6,0.6869,57.2164,,
1,loco_terekhova,7,0.7499,49.2216,,
1,loco_terekhova,8,0.7029,19.6386,,
1,loco_terekhova,9,0.7219,32.3853,,
1,loco_terekhova,10,0.7529,29.6443,,
1,loco_terekhova,11,0.6981,32.7381,,
1,loco_terekhova,12,0.7150,8.6561,,
2,loco_onek1k,0,0.5929,11.4336,0.3847,12.9528
2,loco_onek1k,1,0.6396,41.6644,0.6364,8.8879
2,loco_onek1k,2,0.5513,60.4352,0.6454,11.3007
2,loco_onek1k,3,0.5565,83.9968,0.6628,32.6223
2,loco_onek1k,4,0.5983,42.9443,0.6476,25.3810
2,loco_onek1k,5,0.5729,50.5923,0.6371,18.2299
2,loco_onek1k,6,0.5954,34.8865,0.6582,15.7763
2,loco_onek1k,7,0.6073,22.4245,0.6178,12.8788
2,loco_onek1k,8,0.6077,12.5799,0.6095,15.8208
2,loco_onek1k,9,0.6167,16.2984,0.6108,10.0845
2,loco_onek1k,10,0.6531,25.3412,0.6103,21.3870
2,loco_onek1k,11,0.6088,37.0143,0.6595,8.1450
2,loco_onek1k,12,0.4607,81.2475,0.6401,20.1671
2,loco_terekhova,0,0.6865,15.5489,,
2,loco_terekhova,1,0.7751,9.2122,,
2,loco_terekhova,2,0.7627,10.2788,,
2,loco_terekhova,3,0.6724,9.2318,,
2,loco_terekhova,4,0.4967,29.1730,,
2,loco_terekhova,5,0.6811,9.3968,,
2,loco_terekhova,6,0.6444,9.7283,,
2,loco_terekhova,7,0.6837,26.3285,,
2,loco_terekhova,8,0.7019,8.8557,,
2,loco_terekhova,9,0.7675,13.7349,,
2,loco_terekhova,10,0.7645,8.7824,,
2,loco_terekhova,11,0.6953,16.4882,,
2,loco_terekhova,12,0.7261,8.5822,,
