fold,cap,method,n_seeds,best_layer_holdout,holdout_R_mean,holdout_R_std,stable_layer_holdout,stable_holdout_R_mean,stable_holdout_R_std,best_layer_aida,aida_R_mean,aida_R_std,stable_layer_aida,stable_aida_R_mean,stable_aida_R_std
loco_onek1k,50,FM,3,12.0000,0.5570,0.0788,2.0000,0.5418,0.0612,3.0000,0.5976,0.0252,3.0000,0.5976,0.0252
loco_onek1k,100,FM,3,10.0000,0.6240,0.0529,10.0000,0.6240,0.0529,3.0000,0.6648,0.0349,12.0000,0.6468,0.0152
loco_onek1k,500,FM,3,,,,,,,1.0000,0.6944,0.0378,9.0000,0.6896,0.0129
loco_terekhova,50,FM,3,1.0000,0.7116,0.0209,7.0000,0.7052,0.0123,12.0000,0.6565,0.0104,12.0000,0.6565,0.0104
loco_terekhova,100,FM,3,1.0000,0.7560,0.0166,1.0000,0.7560,0.0166,12.0000,0.6627,0.0171,12.0000,0.6627,0.0171
loco_onek1k,50,gene-EN,3,,0.5293,0.0467,,,,,0.5167,0.0723,,,
loco_onek1k,100,gene-EN,3,,0.6180,0.0088,,,,,0.6480,0.0298,,,
loco_onek1k,500,gene-EN,3,,0.7005,0.0261,,,,,0.6965,0.0343,,,
loco_onek1k,1000,gene-EN,3,,0.7373,0.0063,,,,,0.7157,0.0438,,,
loco_terekhova,50,gene-EN,3,,0.7006,0.0049,,,,,0.5698,0.0518,,,
loco_terekhova,100,gene-EN,3,,0.7545,0.0466,,,,,0.6710,0.0417,,,
loco_terekhova,500,gene-EN,3,,0.8452,0.0041,,,,,0.7222,0.0148,,,
loco_terekhova,1000,gene-EN,3,,0.8640,0.0012,,,,,0.7196,0.0059,,,
