layer,pearson_r,ci_lo,ci_hi,mae,aida_r,aida_mae,alpha,pred_mean,eval_mean,aida_pred_mean,aida_eval_mean
0,0.342238,0.283834,0.399843,28.4718,0.316525,10.7919,0.01,36.0531,63.9144,48.1036,41.7645
1,0.505707,0.459303,0.553723,27.2594,0.476973,9.17292,0.1,38.1056,63.9144,44.7391,41.7645
2,0.471035,0.424361,0.516711,31.9753,0.494284,8.35613,0.1,32.025,63.9144,37.1612,41.7645
3,0.53858,0.493537,0.582487,22.4322,0.433481,8.76067,0.1,42.5037,63.9144,41.3798,41.7645
4,0.500727,0.452899,0.549692,39.6569,0.451487,8.25681,0.1,24.5357,63.9144,37.7723,41.7645
5,0.583706,0.53765,0.626179,25.2229,0.427225,10.0456,1,40.4554,63.9144,50.2091,41.7645
6,0.612067,0.569278,0.653428,25.694,0.558435,8.13257,0.1,39.4107,63.9144,40.3662,41.7645
7,0.592491,0.548824,0.635751,22.8088,0.540277,7.6815,0.1,42.5232,63.9144,43.3137,41.7645
8,0.606919,0.560712,0.647247,34.3404,0.611805,7.62106,0.1,31.1584,63.9144,40.5796,41.7645
9,0.616534,0.569207,0.658395,29.8907,0.61669,6.92084,0.1,35.9663,63.9144,41.8756,41.7645
10,0.629823,0.585992,0.669746,25.2196,0.614915,7.8199,0.1,40.5645,63.9144,38.6767,41.7645
11,0.561771,0.510742,0.604893,35.2298,0.627971,8.86023,0.1,30.328,63.9144,34.9541,41.7645
12,0.635944,0.590794,0.673886,11.003,0.613422,8.02353,10,58.2289,63.9144,40.2938,41.7645
